Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0420_P24,-5,-10,-10,0,-10,-5,-10,-10,-10,-10,0,-10,-5,0,-10,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,96,73,181,239,284,108,106,192,114,151,22,173,169,91,167,,,,,,,,,,,,,,
OP End Frame,,800,800,3000,3000,2000,1800,1700,1100,550,1200,1200,1400,1300,1200,1200,,,,,,,,,,,,,,
MA Peak Threshold,,45,30,40,50,40,40,40,40,40,40,40,40,50,50,40,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,855,550,518,549,595,303,580,450,577,617,220,552,635,579,680,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0430_P25,-10,-25,-10,-10,0,-10,-5,0,-5,-5,-10,-10,-11,-20,0,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,124,97,276,300,314,153,175,175,260,272,46,146,182,122,15,,,,,,,,,,,,,,
OP End Frame,,1500,1200,3000,3000,2100,2800,2300,2800,1700,1600,1800,900,1300,1250,1400,,,,,,,,,,,,,,
MA Peak Threshold,,40,45,50,50,50,50,50,50,50,50,50,40,45,40,40,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,988,897,808,686,658,1593,539,569,458,627,441,480,1392,590,256,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0502_P26,-10,0,-5,-10,-5,-10,-10,-10,-5,-5,-5,-10,-10,-10,0,,,,-10,-10,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,10,10,,,,,,,,,
OP Index 3rd Peak,,51,91,110,285,293,135,217,253,223,310,218,225,137,252,200,,,,153,121,,,,,,,,,
OP End Frame,,1200,1300,2100,3000,2200,1900,1350,2300,1800,1850,1500,1400,1400,1650,750,,,,800,900,,,,,,,,,
MA Peak Threshold,,10,20,20,20,20,20,20,20,20,20,20,20,20,20,18,,,,20,20,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,10,10,,,,,,,,,
MA Index 3rd Peak,,366,624,286,586,621,589,631,618,708,779,662,679,307,680,613,,,,616,417,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0516_P27,-10,-10,-5,-15,-10,0,0,-10,0,0,0,10,-10,0,0,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,83,168,277,288,282,154,104,203,199,116,135,61,153,135,139,,,,,,,,,,,,,,
OP End Frame,,1250,800,3000,2300,2300,1900,2500,1800,1200,1100,1700,650,1300,1500,1500,,,,,,,,,,,,,,
MA Peak Threshold,,-50,-60,-50,-50,-50,-50,-40,-40,-45,-40,-40,-40,-40,-50,-50,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,120,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,720,1382,1014,605,568,745,806,846,840,639,552,420,504,509,577,,,,,,,,,,,,,,
